"RANK","PLAYER","TEAM_LOGO","TEAM_NAME","MIN","OFF","DEF","TOT","WAR","CONFERENCE"
1,"James Harden","http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif","Houston Rockets",2931,8.47932673816419,1.98811370002876,10.467440438193,19.8423843907592,"Western"
2,"LeBron James","http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif","Los Angeles Lakers",3078,6.49892103414369,1.34695653103909,7.84587756518279,16.8224843257618,"Western"
3,"Anthony Davis","http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif","Los Angeles Lakers",2900,3.12441598303045,4.36947032878467,7.49388631181513,15.4931700614026,"Western"
4,"Kawhi Leonard","http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif","Los Angeles Clippers",2359,6.38369971247267,3.25279988082154,9.63649959329421,14.9105113080045,"Western"
5,"Giannis Antetokounmpo","http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif","Milwaukee Bucks",2194,5.33526475232946,3.4282264726182,8.76349122494766,13.1496126749662,"Eastern"
6,"Jayson Tatum","http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif","Boston Celtics",2955,3.40523209259619,2.1116640110436,5.51689610363979,12.5495833906657,"Eastern"
7,"Nikola Jokic","http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif","Denver Nuggets",3030,4.60573917317776,0.469694366936135,5.07543354011389,12.1329599744573,"Western"
8,"Jimmy Butler","http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif","Miami Heat",2765,4.08646576924875,1.50665762524657,5.59312339449532,11.8023759033936,"Eastern"
9,"Rudy Gobert","http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif","Utah Jazz",2603,0.140288211420332,5.45838019526243,5.59866840668276,11.0670315502102,"Western"
10,"Luka Doncic","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif","Dallas Mavericks",2262,7.39960415620699,-1.06771660871395,6.33188754749305,10.6444657498735,"Western"
11,"Kyle Lowry","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",2511,3.21220416879502,1.65910345204278,4.87130762083781,9.91855486842377,"Eastern"
12,"Kemba Walker","http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif","Boston Celtics",2370,4.82756022860379,-0.0910680697515479,4.73649215885224,9.11212312986408,"Eastern"
13,"Paul George","http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif","Los Angeles Clippers",1898,3.49726920113749,2.81636594479577,6.31363514593325,8.93932120708502,"Western"
